Close,ClassificationValue
24.959999,1
24.91,1
24.620001,-1
24.73,1
24.67,1
24.459999,1
24.190001,-1
24.200001,-1
24.34,-1
24.52,-1
24.68,1
24.620001,-1
24.73,-1
25.0,-1
25.030001,1
25.0,1
24.9,1
24.9,-1
24.91,1
24.74,1
24.709999,-1
24.85,1
24.84,1
24.75,1
24.700001,-1
24.93,-1
25.059999,1
25.030001,1
24.99,1
24.870001,1
24.639999,1
24.459999,-1
24.540001,1
24.15,-1
24.219999,1
24.18,1
24.030001,-1
24.09,1
24.01,1
23.6,1
23.540001,-1
23.75,-1
23.82,1
23.620001,1
23.549999,-1
23.85,1
23.84,1
23.84,-1
23.959999,-1
24.120001,1
24.09,-1
24.190001,-1
24.209999,1
24.139999,1
24.139999,-1
24.24,-1
24.309999,-1
24.360001,-1
24.379999,-1
24.51,1
24.5,1
24.43,1
24.41,1
24.17,1
24.08,-1
24.15,-1
24.18,-1
24.35,1
24.219999,1
24.16,-1
24.190001,-1
24.23,1
24.23,1
24.07,-1
24.110001,-1
24.26,-1
24.49,-1
24.75,-1
24.84,1
24.780001,1
24.68,-1
24.799999,1
24.780001,1
24.75,1
24.719999,-1
24.780001,1
24.73,1
24.620001,1
24.559999,1
24.459999,1
24.309999,1
24.290001,-1
24.35,1
24.09,1
23.93,1
23.860001,1
23.790001,1
23.74,1
23.32,-1
23.42,-1
23.559999,1
23.51,-1
23.57,-1
23.610001,-1
23.65,1
23.41,1
23.139999,1
22.709999,-1
22.9,-1
23.01,-1
23.07,1
22.950001,1
22.879999,-1
23.200001,-1
23.23,-1
23.24,-1
23.299999,-1
23.450001,-1
23.49,1
23.35,-1
23.49,-1
23.59,1
23.48,1
23.389999,-1
23.58,-1
23.620001,-1
23.66,1
23.57,-1
23.68,-1
23.950001,-1
24.139999,-1
24.16,-1
24.17,-1
24.190001,-1
24.299999,-1
24.35,1
24.309999,1
24.26,-1
24.290001,-1
24.58,1
24.540001,-1
24.66,1
24.51,-1
24.639999,1
24.610001,-1
24.66,1
24.370001,-1
24.459999,-1
24.540001,1
24.379999,1
24.25,-1
24.290001,-1
24.4,-1
24.440001,1
24.360001,-1
24.5,-1
24.52,-1
24.66,-1
24.76,-1
24.780001,-1
24.950001,-1
24.969999,-1
24.98,1
24.950001,1
24.870001,1
24.84,1
24.780001,1
24.76,1
24.690001,-1
24.709999,-1
24.959999,1
24.940001,-1
24.99,1
24.950001,1
24.76,1
24.690001,-1
24.799999,1
24.709999,1
24.549999,-1
24.76,-1
24.809999,-1
24.950001,-1
25.1,-1
25.139999,1
25.059999,1
24.93,1
24.799999,-1
24.93,-1
25.07,-1
25.190001,-1
25.43,1
25.43,-1
25.68,-1
25.75,-1
25.790001,-1
25.85,-1
25.93,-1
26.09,1
26.01,-1
26.02,-1
26.08,1
25.99,1
25.92,-1
26.01,-1
26.200001,-1
26.299999,1
26.23,1
26.17,1
26.139999,1
26.059999,-1
26.120001,1
26.040001,1
25.809999,-1
25.860001,1
25.860001,-1
25.92,1
25.83,1
25.83,-1
25.91,-1
26.15,-1
26.25,-1
26.32,1
26.32,-1
26.41,-1
26.52,1
26.450001,-1
